step,loss,psnr,ssim
1.0,0.055731937289237976,12.957539690439674,0.0711548791242615
25.0,0.03464369848370552,14.741013150685912,0.15337286502648725
50.0,0.023608487099409103,16.915471039324757,0.44053452345023514
75.0,0.021134650334715843,17.465824623839044,0.541156894784621
100.0,0.020909661427140236,17.528685614388177,0.5393325963844384
125.0,0.015289771370589733,19.274051115132092,0.6827232340054449
150.0,0.00932326726615429,22.279603804248612,0.8282289927220138
175.0,0.006624079309403896,24.600878624188766,0.8995532359546947
200.0,0.00545933423563838,26.606793115309635,0.9391191636481268
225.0,0.0047908322885632515,27.337361727827663,0.9493548386463371
250.0,0.004449956119060516,28.20806251907409,0.9553813871514499
275.0,0.004308391362428665,28.2675463301098,0.9608134786984867
300.0,0.004019458778202534,29.116485237555544,0.9630057639868733
325.0,0.003860041033476591,28.08650026054727,0.9601268162873355
350.0,0.003760331077501178,29.361437202974578,0.963393852876568
375.0,0.003503107698634267,29.365806605934907,0.9639118327432523
400.0,0.003246123204007745,29.8609383824041,0.9661216950586662
425.0,0.0033686780370771885,28.529561421269428,0.9568651559077177
450.0,0.003103125374764204,29.461081403148967,0.9634995754103882
475.0,0.002932569943368435,29.5258626818323,0.9606918028326579
500.0,0.0029031492304056883,29.1386181425333,0.9586134571737115
525.0,0.002841010456904769,28.9765921655224,0.9583644649007232
550.0,0.0026336549781262875,28.95459016071204,0.953990509576307
575.0,0.002585256937891245,28.960735397532744,0.9551520379311123
600.0,0.0024388411547988653,29.0385273961498,0.9529213525097946
625.0,0.0023763668723404408,28.437734662852105,0.9479282967099537
650.0,0.0022971760481595993,28.626696413352484,0.9491106089775968
675.0,0.0021757809445261955,28.518091970178787,0.9450356598487224
700.0,0.002024418208748102,28.39069374422824,0.9434639085947971
725.0,0.0019424884812906384,28.197771080377628,0.9414808369916061
750.0,0.0019136886112391949,27.798132002502353,0.9352229351928628
775.0,0.001789589412510395,27.35600947756207,0.9333300903687579
800.0,0.001758809550665319,27.42718544716206,0.9331483857774848
825.0,0.0015535377897322178,27.265776597746168,0.9296575140708551
850.0,0.0014310362748801708,27.182610060442627,0.9255213319511107
875.0,0.0013685787562280893,27.020319965632012,0.9223253443287895
900.0,0.0012505501508712769,26.966022565063952,0.9212533412467994
