step,loss,psnr,ssim
1.0,0.07869917154312134,11.246835812811877,0.08822821772835868
25.0,0.07556287944316864,11.41368049542088,0.09094310888407159
50.0,0.06732090562582016,11.961827588090348,0.09873032257901751
75.0,0.07216526567935944,12.210883559298741,0.11810433952339305
100.0,0.0669860914349556,12.055190056189524,0.1120619384681895
125.0,0.05467236787080765,13.405986298598812,0.1997536304574362
150.0,0.05537829175591469,12.886654620371623,0.18347106917143927
175.0,0.03940262645483017,14.878469020964257,0.32395473652895956
200.0,0.032838672399520874,16.02445248763872,0.4260070223839546
225.0,0.024934610351920128,17.42413794344692,0.5324441047454409
250.0,0.02171124331653118,18.502819800135413,0.620057665427325
275.0,0.018437134101986885,19.082109371571672,0.6773449424623792
300.0,0.016276700422167778,20.510067304964746,0.732825704992687
325.0,0.015357493422925472,20.723848693907637,0.7529332112414623
350.0,0.01492796465754509,21.245053581349982,0.7787463078930764
375.0,0.012924004346132278,21.599387056702067,0.7925152561082488
400.0,0.012349863536655903,22.38072507436528,0.8175544420790977
425.0,0.012030942365527153,22.579148659724844,0.8270523262378515
450.0,0.011513905599713326,22.84933066825201,0.8313817988503082
475.0,0.01082629431039095,23.20204152171083,0.8410772611957384
500.0,0.010620178654789925,23.40440847072052,0.8498278249400656
525.0,0.009808570146560669,23.583242944303894,0.8460844861770959
550.0,0.009590527042746544,23.73598808868718,0.8522019189030516
575.0,0.00897512212395668,24.049514872067718,0.8574315849580889
600.0,0.00889615248888731,24.163103194553987,0.8595393881429868
625.0,0.008324960246682167,24.15282121014868,0.8608116469136688
650.0,0.008109210059046745,24.31692994067769,0.8613140701972984
675.0,0.007694058120250702,24.215357500993775,0.8605648348956202
700.0,0.007604607846587896,24.199531794840787,0.856729451770696
725.0,0.007169103715568781,23.861522555642736,0.8530632468266025
750.0,0.006561984308063984,24.202600756284994,0.8551810774154845
775.0,0.006338802166283131,23.856863087355826,0.845653334805547
800.0,0.005938487593084574,23.84441865816255,0.8443872258421499
825.0,0.005419351626187563,23.47298573344697,0.8341093923205534
850.0,0.0051902420818805695,23.416773923299324,0.8346283889268209
875.0,0.004746546503156424,23.107011633133993,0.8248176378215687
900.0,0.004364785272628069,22.966037700645863,0.8207163234301106
