step,loss,psnr,ssim
1.0,0.09476466476917267,11.193413743541667,0.353023982538031
25.0,0.07802940905094147,12.367576325257714,0.2520228700649169
50.0,0.06943844258785248,13.382458064654855,0.25134738987736704
75.0,0.10776185989379883,11.018807923280926,0.28384861590600635
100.0,0.06873191893100739,13.628077596368769,0.21832571079905114
125.0,0.056366901844739914,15.39965052374896,0.28569424773093693
150.0,0.07929787784814835,12.21061028684402,0.25168035115060944
175.0,0.06362257897853851,14.372350002684717,0.2753474785408771
200.0,0.046428143978118896,17.32554441882504,0.36798904347275435
225.0,0.043916430324316025,18.02017713404331,0.41921220171234347
250.0,0.039639443159103394,19.584309301984867,0.47223186317265675
275.0,0.03614558279514313,21.590116003217176,0.56094892147901
300.0,0.034479010850191116,21.962854103086457,0.5964974577615892
325.0,0.034472111612558365,22.34655095384948,0.6062428100098547
350.0,0.03345978260040283,22.382807404951937,0.6062827654233159
375.0,0.032926905900239944,22.449135242604058,0.6002735829239797
400.0,0.033131927251815796,23.163840151549863,0.6279063142421373
425.0,0.032188985496759415,23.59617918602477,0.6362444412604962
450.0,0.031945809721946716,23.742347952822627,0.6385884549453252
475.0,0.03129582479596138,23.678214085916398,0.6254609238737574
500.0,0.03129717335104942,22.83476843046348,0.6176658115437195
525.0,0.03043234720826149,22.702060315956615,0.5908111097651639
550.0,0.02970273233950138,23.726517481104178,0.6010308122256406
575.0,0.029146593064069748,23.142779205683524,0.5772980513833184
600.0,0.029498372226953506,22.465323456318757,0.5438769859403354
625.0,0.028102004900574684,22.509767502320294,0.5374653680369371
650.0,0.02724091336131096,21.98879513658771,0.5155158360986454
675.0,0.02714216150343418,22.5163558280005,0.5243068955431435
700.0,0.025704918429255486,21.97104910024502,0.4984619503188961
725.0,0.02516743540763855,22.053049182988104,0.491835775851259
750.0,0.023732682690024376,21.670535203043574,0.47557790156264346
775.0,0.023054679855704308,21.129499180387043,0.46011470847219943
800.0,0.02197231911122799,20.377555116278995,0.4344318595737067
825.0,0.021845895797014236,19.96225387612774,0.41781466944458867
850.0,0.01900845766067505,19.782176701581783,0.4120953491615123
875.0,0.018043823540210724,19.064636997011032,0.3918264626822688
900.0,0.015949107706546783,19.01967453775315,0.38916676317676235
