step,loss,psnr,ssim
1.0,0.08104505389928818,11.12478637849501,0.3494862735904886
25.0,0.07264404743909836,11.638814834115273,0.29109559997581586
50.0,0.057786762714385986,12.594853731328577,0.22762485226402673
75.0,0.051893942058086395,13.056049268655874,0.20546288077705444
100.0,0.03498281538486481,15.034083729611112,0.2506275919661391
125.0,0.04657084867358208,13.6896657265738,0.22305228281654085
150.0,0.033475570380687714,15.661770029929517,0.2999642242324275
175.0,0.02648126147687435,16.415050037149356,0.345292372300668
200.0,0.017211230471730232,18.158517747745112,0.39799468144369243
225.0,0.013146764598786831,19.927417895701048,0.49445536268727097
250.0,0.009526176378130913,22.00166440875733,0.5868833680612303
275.0,0.008285815827548504,22.947920837254635,0.6379945696096307
300.0,0.0074272737838327885,23.801826173928326,0.6795750269771085
325.0,0.006950949784368277,24.47503226808339,0.7160514309010098
350.0,0.007080419920384884,24.34770152113494,0.7338631547673998
375.0,0.006313107907772064,25.101335782507306,0.7504945019189175
400.0,0.006293501704931259,24.57585883799519,0.7548329529820916
425.0,0.0058484612964093685,25.137407628674534,0.7616334790662905
450.0,0.005562545731663704,25.99215808095404,0.7806172740516141
475.0,0.00545623991638422,25.944153921513813,0.7817999393270572
500.0,0.005558927543461323,26.2341289324959,0.7859073362128275
525.0,0.005263237748295069,26.076276939027775,0.7974960546891839
550.0,0.005367307458072901,26.157858430186906,0.7953196286481853
575.0,0.00509981345385313,26.67634845421503,0.8038492667777785
600.0,0.00495607266202569,26.87898159432205,0.8084620890627293
625.0,0.004999194759875536,27.065380659869838,0.8089471477107117
650.0,0.004689084831625223,26.911722558296557,0.8110553580253218
675.0,0.0047057801857590675,26.985494562916177,0.8085992434255859
700.0,0.0046945493668317795,27.491838154115253,0.8119043163716013
725.0,0.004434181377291679,26.819434390530486,0.8058240341817723
750.0,0.004558933433145285,26.89713351138664,0.8071042906125292
775.0,0.004502243362367153,27.75150807088719,0.8069198459262796
800.0,0.004238198511302471,27.807816207176327,0.8069306076210829
825.0,0.004283369053155184,27.371513214517016,0.8001723484480565
850.0,0.004070466384291649,27.707428682873285,0.8004431735799514
875.0,0.003968941979110241,28.16695466215348,0.8014786856937777
900.0,0.003863706486299634,28.272767030519308,0.7981915698961469
