step,loss,psnr,ssim
1.0,0.07402464002370834,13.472011074499278,0.07247833463994013
25.0,0.0662287026643753,14.177047086279135,0.07907274068644282
50.0,0.06461795419454575,14.408090144385257,0.09838040088810308
75.0,0.060051798820495605,15.152628087907292,0.19469735763963006
100.0,0.05245743691921234,16.714202436539022,0.4599864698337614
125.0,0.04847326874732971,17.32908804708557,0.5012106249817382
150.0,0.04469231143593788,18.16732430790421,0.5780426144274131
175.0,0.03938094899058342,20.25112676955592,0.7338142771499208
200.0,0.03487784415483475,22.242921544355404,0.8174605752142048
225.0,0.03211814537644386,22.230186467085108,0.8252788909116271
250.0,0.02962278388440609,22.703864007850886,0.8389618781181528
275.0,0.02730880118906498,21.904478976840718,0.80777048229602
300.0,0.025219880044460297,21.26999656383382,0.7854831738908752
325.0,0.02217736467719078,19.940691894004928,0.7458279972463956
350.0,0.01888519898056984,19.098401531765447,0.7207184851843161
375.0,0.015216007828712463,18.07507028247155,0.6801975026465393
400.0,0.011829196475446224,17.077240414864075,0.6371543675207884
425.0,0.009035447612404823,16.622625897219613,0.6102744331867844
450.0,0.006776010617613792,16.207312557728063,0.5875577304251712
475.0,0.005282835569232702,15.872698609645397,0.5718413023469836
500.0,0.0048348624259233475,15.66055215147035,0.5680886359899732
525.0,0.0036114975810050964,15.541902067000237,0.565921312806178
550.0,0.0028578194323927164,15.541817449609033,0.5610892247074782
575.0,0.0025618490763008595,15.37817547538757,0.553988052467241
600.0,0.0024479757994413376,15.24520936799057,0.544898981272836
625.0,0.001974885817617178,15.32895788151067,0.550851325286774
650.0,0.0019231140613555908,15.130190243740762,0.5375484093515444
675.0,0.0017013594042509794,15.215875303265525,0.544044928445637
700.0,0.0015863383887335658,15.220590919266236,0.5458576425497629
725.0,0.0015695658512413502,15.181265516628784,0.5429636514382288
750.0,0.0015057636192068458,15.249758679055446,0.5460182515882401
775.0,0.001327468897216022,15.133521257841931,0.5411786473061065
800.0,0.0013174220221117139,15.099810458480112,0.5376810633965203
825.0,0.0013810188975185156,15.121121758601308,0.5402417239503012
850.0,0.001298321527428925,15.280979906479908,0.5506995516170567
875.0,0.0011839700164273381,15.042580897118222,0.5316230524545543
900.0,0.0012086306232959032,15.100836734709036,0.5361527933495528
