step,loss,psnr,ssim
1.0,0.014788711443543434,20.240757497831993,0.7513408202525144
25.0,0.0056971898302435875,26.267446628167015,0.7536980696714635
50.0,0.005466163158416748,26.643314400524332,0.7517726618595041
75.0,0.005412595346570015,26.746437224441813,0.7540680566491442
100.0,0.005215136334300041,27.14967459118652,0.7592142038648078
125.0,0.0049652354791760445,27.73919230324323,0.762414960722759
150.0,0.004872612189501524,27.898560696904408,0.7601821435563926
175.0,0.005463048815727234,26.27027937713514,0.7504383722258184
200.0,0.005278034135699272,26.976131187447606,0.7515954152352581
225.0,0.00519684050232172,27.218679001579737,0.7514430322716202
250.0,0.004954716190695763,27.71510144946911,0.7587671548213398
275.0,0.005013208836317062,27.13177182336668,0.7631342269615331
300.0,0.004774075001478195,27.618567028037386,0.7309700831589283
325.0,0.00442518200725317,29.16032112157106,0.773588150085197
350.0,0.0041259704157710075,30.200340144180725,0.7863875500897697
375.0,0.00405530072748661,30.361287831923395,0.792320887971222
400.0,0.0038590626791119576,30.79637284141262,0.7846771034320172
425.0,0.003689366625621915,31.100861836152735,0.7689391831988104
450.0,0.0037473340053111315,30.842641420163794,0.7652222501040923
475.0,0.0034712529741227627,31.29861907649603,0.7308641081935019
500.0,0.0032433485612273216,31.741543870868437,0.7306191337147593
525.0,0.0030932894442230463,31.533385377794186,0.7076780283989719
550.0,0.0028965631499886513,31.26034545927983,0.6823961692779158
575.0,0.002707224804908037,30.72703877099056,0.6464397002822153
600.0,0.002533895196393132,30.24609799725709,0.6298608582524425
625.0,0.0023371477145701647,29.658721785030977,0.5844761410486684
650.0,0.002075430704280734,29.167728388121155,0.5534719651416564
675.0,0.0022095232270658016,28.853070212373687,0.5395896766516386
700.0,0.0016178947407752275,27.970336964635493,0.4921167730780121
725.0,0.0013520470820367336,27.352112117412055,0.45962358225805866
750.0,0.0011214844416826963,26.76586257293865,0.432495024905725
775.0,0.0009132491541095078,26.417033517871186,0.4181746571201844
800.0,0.0007226731977425516,26.010932980134626,0.39702623567403283
825.0,0.0006184962694533169,25.768387392748274,0.3864635279563817
850.0,0.0004783364129252732,25.52664144967909,0.37446165744184245
875.0,0.0003965214709751308,25.41960680617028,0.36873231267868833
900.0,0.00033083988819271326,25.315416548628246,0.36382617524135125
